point_id	beta	gamma	sigma
148	0.28935395	0.25264441	0.91537701
149	0.19350265	0.13722787	0.10223509
150	0.43268508	0.19791684	0.16203170
151	0.11701965	0.28544548	0.25680295
152	0.26166389	0.11196610	0.40700524
153	0.17498519	0.16148306	0.64505983
154	0.39127878	0.23289887	0.11209855
155	0.14309684	0.12650277	0.17766423
156	0.31997426	0.18244856	0.28157883
157	0.21397968	0.26313636	0.44627237
158	0.47847312	0.14292674	0.70729404
159	0.10319336	0.20613603	0.12291362
160	0.23074737	0.29729960	0.19480496
161	0.15431007	0.10090831	0.30874505
162	0.34504780	0.14553496	0.48932792
163	0.12618944	0.20989774	0.77553250
164	0.28216816	0.11400933	0.13477210
165	0.18869722	0.16442991	0.21359939
166	0.42193982	0.23714896	0.33853221
167	0.11411359	0.12881127	0.53653740
168	0.25516575	0.18577800	0.85035447
169	0.17063962	0.26793824	0.14777467
170	0.38156180	0.10509888	0.23420707
171	0.13954319	0.15157881	0.37119319
172	0.31202805	0.21861448	0.58830156
173	0.20866573	0.11874397	0.93239514
174	0.46659076	0.17125844	0.10413579
175	0.10851620	0.24699741	0.16504410
176	0.24264960	0.13416061	0.26157727
177	0.16226956	0.19349308	0.41457203
178	0.36284578	0.27906532	0.65705239
179	0.13269844	0.10946348	0.11418262
180	0.29672273	0.15787365	0.18096726
181	0.19843045	0.22769321	0.28681377
182	0.44370398	0.12367523	0.45456919
183	0.11999971	0.17837054	0.72044362
184	0.26832751	0.25725484	0.12519875
185	0.17944142	0.13973210	0.19842665
186	0.40124321	0.20152856	0.31448505
187	0.14674099	0.29065448	0.49842521
188	0.32812283	0.10228626	0.78995072
189	0.21942896	0.14752232	0.13727770
190	0.49065807	0.21276400	0.21757050
191	0.10190396	0.11556619	0.34482600
192	0.22786418	0.16667528	0.54651237
193	0.15238196	0.24038736	0.86616374
194	0.34073642	0.13057026	0.15052201
195	0.12461270	0.18831490	0.23856130
196	0.27864247	0.27159708	0.37809419
197	0.18633945	0.10653406	0.59923890
198	0.41666767	0.15364870	0.94972966
199	0.11268774	0.22159977	0.10607181
200	0.25197745	0.12036548	0.16811250
201	0.16850748	0.17359706	0.26644035
202	0.37679418	0.25037028	0.42227950
203	0.13779959	0.13599264	0.66926791
204	0.30812925	0.19613533	0.11630543
205	0.20605845	0.28287610	0.18433169
206	0.46076070	0.11095826	0.29214604
207	0.10716029	0.16002950	0.46302027
208	0.23961769	0.23080247	0.73383767
209	0.16024200	0.12536407	0.12752637
210	0.35831201	0.18080628	0.20211568
211	0.13104037	0.26076778	0.32033176
212	0.29301518	0.14164021	0.50769163
213	0.19595106	0.20428054	0.80463700
214	0.43815989	0.29462352	0.13982988
215	0.11850031	0.10368303	0.22161543
216	0.26497475	0.14953681	0.35123679
217	0.17719930	0.21566940	0.55667280
218	0.39622967	0.11714430	0.88226693
219	0.14490746	0.16895132	0.15332042
220	0.32402293	0.24366997	0.24299649
221	0.21668719	0.13235326	0.38512348
222	0.48452729	0.19088643	0.61037959
223	0.10449908	0.27530587	0.96738645
224	0.23366704	0.10798883	0.10804384
225	0.15626257	0.15574685	0.17123794
226	0.34941373	0.22462583	0.27139385
227	0.12778613	0.12200913	0.43013026
228	0.28573847	0.17596761	0.68171053
229	0.19108483	0.25378922	0.11846771
230	0.42727867	0.13784969	0.18775867
231	0.11555749	0.19881366	0.29757744
232	0.25839439	0.28673891	0.47162846
233	0.17279875	0.11247345	0.74748073
234	0.38638974	0.16221478	0.12989726
235	0.14130884	0.23395420	0.20587329
236	0.31597618	0.12707598	0.32628717
237	0.21130600	0.18327528	0.51713032
238	0.47249459	0.26432870	0.81959632
239	0.10988927	0.14357438	0.14242952
240	0.24571987	0.20707009	0.22573557
241	0.16432278	0.29864675	0.35776677
242	0.36743691	0.10015081	0.56702212
243	0.13437749	0.14444247	0.89866950
244	0.30047720	0.20832209	0.15617086
245	0.20094122	0.11315349	0.24751413
246	0.44931822	0.16319557	0.39228346
247	0.12151808	0.23536875	0.62172739
248	0.27172269	0.12784432	0.98537151
249	0.18171191	0.18438341	0.10073955
250	0.40632019	0.26592690	0.15966142
251	0.14859772	0.10430993	0.25304630
252	0.33227461	0.15044095	0.40105137
253	0.22220542	0.21697339	0.63562358
254	0.49686643	0.11785259	0.11045872
255	0.10031484	0.16997284	0.17506527
256	0.22431080	0.24514326	0.27745976
257	0.15000567	0.13315350	0.43974408
258	0.33542288	0.19204058	0.69694740
259	0.12266945	0.27697044	0.12111558
260	0.27429723	0.10864176	0.19195525
261	0.18343362	0.15668854	0.30422857
262	0.41017003	0.22598397	0.48216979
263	0.11093046	0.12274683	0.76418762
264	0.24804804	0.17703156	0.13280059
265	0.16587972	0.25532369	0.21047475
266	0.37091834	0.13868317	0.33358000
267	0.13565070	0.20001574	0.52868867
268	0.30332420	0.28847261	0.83791507
269	0.20284511	0.10151843	0.14561295
270	0.45357547	0.14641491	0.23078097
271	0.10548920	0.21116683	0.36576319
272	0.23588102	0.11469866	0.57969559
273	0.15774314	0.16542409	0.91875560
274	0.35272439	0.23858283	0.10261244
275	0.12899689	0.12959010	0.16262975
276	0.28844581	0.18690126	0.25775079
277	0.19289534	0.26955827	0.40850747
278	0.43132710	0.10573433	0.64744070
279	0.11665238	0.15249530	0.11251230
280	0.26084266	0.21993628	0.17831998
281	0.17443600	0.11946192	0.28261812
282	0.39005075	0.17229391	0.44791953
283	0.14264773	0.24849081	0.70990462
284	0.31897002	0.13497178	0.12336728
285	0.21330811	0.19466299	0.19552397
286	0.47697143	0.28075262	0.30988460
287	0.10286949	0.11012532	0.49113400
288	0.23002317	0.15882820	0.77839493
289	0.15382576	0.22906990	0.13526954
290	0.34396487	0.12442300	0.21438777
291	0.12579339	0.17944902	0.33978171
292	0.28128258	0.25881027	0.53851772
293	0.18810500	0.14057696	0.85349307
294	0.42061556	0.20274705	0.14832010
295	0.11375545	0.29241185	0.23507151
296	0.25436492	0.10290471	0.37256324
297	0.17010407	0.14841428	0.59047294
298	0.38036427	0.21405043	0.93583654
299	0.13910523	0.11626493	0.10452014
300	0.31104875	0.16768304	0.16565326
301	0.20801084	0.24184080	0.26254273
302	0.46512637	0.13135972	0.41610219
303	0.10817562	0.18945350	0.65947753
304	0.24188804	0.27323922	0.11460406
305	0.16176028	0.10717819	0.18163519
306	0.36170699	0.15457770	0.28787238
307	0.13228197	0.22293962	0.45624698
308	0.29579147	0.12109324	0.72310273
309	0.19780768	0.17464667	0.12566085
310	0.44231142	0.25188408	0.19915903
311	0.11962309	0.13681489	0.31564579
312	0.26748536	0.19732121	0.50026486
313	0.17887824	0.28458644	0.79286637
314	0.39998391	0.11162914	0.13778438
315	0.14628044	0.16099708	0.21837353
316	0.32709302	0.23219797	0.34609873
317	0.21874028	0.12612206	0.54852951
318	0.48911814	0.18189948	0.86936069
319	0.10158413	0.26234445	0.15107757
320	0.22714903	0.14249661	0.23944182
321	0.15190371	0.20551567	0.37948971
322	0.33966702	0.29640488	0.60145065
323	0.12422160	0.10060463	0.95323504
324	0.27776795	0.14509698	0.10646332
325	0.18575462	0.20926605	0.16873299
326	0.41535996	0.11366622	0.26742377
327	0.11233407	0.16393506	0.42383811
328	0.25118662	0.23643527	0.67173813
329	0.16797862	0.12842362	0.11673471
330	0.37561161	0.18521891	0.18501204
331	0.13736711	0.26713189	0.29322433
332	0.30716219	0.10478258	0.46472924
333	0.20541174	0.15112264	0.73654621
334	0.45931461	0.21795656	0.12799706
335	0.10682396	0.11838661	0.20286167
336	0.23886565	0.17074304	0.32151408
337	0.15973909	0.24625407	0.50956548
338	0.35718745	0.13375686	0.80760686
339	0.13062910	0.19291077	0.14034599
340	0.29209555	0.27822547	0.22243340
341	0.19533607	0.10913405	0.35253318
342	0.43678473	0.15739853	0.55872744
343	0.11812840	0.22700797	0.88552331
344	0.26414313	0.12330303	0.15388631
345	0.17664316	0.17783374	0.24389337
346	0.39498611	0.25648063	0.38654495
347	0.14445267	0.13931158	0.61263245
348	0.32300599	0.20092206	0.97095701
349	0.21600712	0.28977976	0.10844262
350	0.48300661	0.10197843	0.17186997
351	0.10417111	0.14707835	0.27239554
352	0.23293368	0.21212369	0.43171784
353	0.15577214	0.11521839	0.68422667
354	0.34831709	0.16617368	0.11890497
355	0.12738507	0.23966391	0.18845167
356	0.28484168	0.13017731	0.29867578
357	0.19048511	0.18774816	0.47336920
358	0.42593766	0.27077971	0.75023963
359	0.11519481	0.10621344	0.13037670
360	0.25758342	0.15318629	0.20663315
361	0.17225642	0.22093287	0.32749148
362	0.38517706	0.12000324	0.51903901
363	0.14086534	0.17307462	0.82262139
364	0.31498449	0.24961679	0.14295521
365	0.21064282	0.13558337	0.22656875
366	0.47101167	0.19554506	0.35908726
367	0.10954438	0.28202478	0.56911496
368	0.24494868	0.11062433	0.90198642
369	0.16380705	0.15954789	0.15674728
370	0.36628371	0.23010788	0.24842769
371	0.13395575	0.12498679	0.39373135
372	0.29953415	0.18026215	0.62402214
373	0.20031056	0.25998301	0.98900845
374	0.44790803	0.14121395	0.10111137
375	0.12113670	0.20366576	0.16025072
376	0.27086989	0.29373685	0.25398028
377	0.18114161	0.10337100	0.40253162
378	0.40504495	0.14908678	0.63796962
379	0.14813135	0.21502035	0.11086641
380	0.33123176	0.11679176	0.17571142
381	0.22150803	0.16844286	0.27848384
382	0.49530701	0.24293665	0.44136714
383	0.10094749	0.13195494	0.69951978
384	0.22572545	0.19031196	0.12156261
385	0.15095171	0.27447734	0.19266375
386	0.33753828	0.10766384	0.30535146
387	0.12344309	0.15527813	0.48394945
388	0.27602714	0.22394982	0.76700819
389	0.18459047	0.12164194	0.13329075
390	0.41275684	0.17543804	0.21125160
391	0.11163006	0.25302544	0.33481122
392	0.24961240	0.13743483	0.53064002
393	0.16692587	0.19821533	0.84100775
394	0.37325760	0.28587598	0.14615040
395	0.13650621	0.11213496	0.23163277
396	0.30523716	0.16172660	0.36711320
397	0.20412439	0.23325012	0.58183521
398	0.45643602	0.12669355	0.92214667
399	0.10615448	0.18272372	0.10299117
400	0.23736864	0.26353321	0.16323001
401	0.15873798	0.14314230	0.25870213
402	0.35494891	0.20644692	0.41001524
403	0.12981043	0.29774798	0.64983036
404	0.29026495	0.10106049	0.11292757
405	0.19411187	0.14575445	0.17897814
406	0.43404733	0.21021430	0.28366124
407	0.11738807	0.11418127	0.44957277
408	0.26248771	0.16467789	0.71252482
409	0.17553611	0.23750662	0.12382262
410	0.39251067	0.12900554	0.19624563
411	0.14354736	0.18605818	0.31102837
412	0.32098166	0.26834233	0.49294674
413	0.21465337	0.10525738	0.78126793
414	0.47997953	0.15180742	0.13576881
415	0.10351825	0.21894418	0.21517906
416	0.23147385	0.11892305	0.34103582
417	0.15479589	0.17151672	0.54050535
418	0.34613414	0.24736991	0.85664326
419	0.12658673	0.13436295	0.14886754
420	0.28305654	0.19378490	0.23593914
421	0.18929131	0.27948619	0.37393834
422	0.42326825	0.10962856	0.59265234
423	0.11447287	0.15811175	0.93929065
424	0.25596911	0.22803660	0.10490592
425	0.17117686	0.12386175	0.16626468
426	0.38276310	0.17863955	0.26351176
427	0.13998252	0.25764282	0.41763799
428	0.31301043	0.13994284	0.66191161
429	0.20932269	0.20183250	0.11502705
430	0.46805977	0.29109283	0.18230560
431	0.10885785	0.10244053	0.28893490
432	0.24341355	0.14774480	0.45793095
433	0.16278045	0.21308488	0.72577165
434	0.36398815	0.11574048	0.12612466
435	0.13311623	0.16692665	0.19989411
436	0.29765693	0.24074989	0.31681082
437	0.19905519	0.13076718	0.50211131
438	0.44510093	0.18859890	0.79579279
439	0.12037751	0.27200669	0.13829294
440	0.26917231	0.10669473	0.21917953
441	0.18000637	0.15388042	0.34737615
442	0.40250648	0.22193397	0.55055410
443	0.14720299	0.12054701	0.87256944
444	0.32915589	0.17385887	0.15163519
445	0.22011981	0.25074788	0.24032558
446	0.49220285	0.13619774	0.38089038
447	0.10222479	0.19643113	0.60367056
448	0.22858158	0.28330272	0.95675337
449	0.15286172	0.11112560	0.10685627
450	0.34180919	0.16027085	0.16935577
451	0.12500503	0.23115056	0.26841081
452	0.27951974	0.12555314	0.42540246
453	0.18692612	0.18107896	0.67421747
454	0.41797950	0.26116106	0.11716557
455	0.11304253	0.14185383	0.18569491
456	0.25277077	0.20458862	0.29430660
457	0.16903800	0.29506785	0.46644453
458	0.37798047	0.10383940	0.73926475
459	0.13823344	0.14976233	0.12846949
460	0.30909936	0.21599466	0.20361042
461	0.20670720	0.11732097	0.32270077
462	0.46221135	0.16920612	0.51144625
463	0.10749767	0.24403746	0.81058768
464	0.24037209	0.13255287	0.14086399
465	0.16074651	0.19117432	0.22325439
466	0.35944012	0.27572108	0.35383436
467	0.13145294	0.10815170	0.56078966
468	0.29393770	0.15598174	0.88879172
469	0.19656799	0.22496460	0.15445430
470	0.43953939	0.12219314	0.24479357
471	0.11887340	0.17623300	0.38797166
472	0.26580899	0.25417197	0.61489364
473	0.17775719	0.13805759	0.97454074
474	0.39747715	0.19911350	0.10884287
475	0.14536368	0.28717136	0.17250433
476	0.32504308	0.11264308	0.27340094
477	0.21736941	0.16245943	0.43331129
478	0.48605277	0.23430704	0.68675211
479	0.10482808	0.12726763	0.11934384
480	0.23440272	0.18355169	0.18914724
481	0.15675454	0.26472735	0.29977817
482	0.35051382	0.14379091	0.47511638
483	0.12818845	0.20738238	0.75300871
484	0.28663808	0.29909715	0.13085792
485	0.19168644	0.10030186	0.20739582
486	0.42862391	0.14466031	0.32870022
487	0.11592131	0.20863627	0.52095475
488	0.25920792	0.11332414	0.82565763
489	0.17334278	0.16344170	0.14348285
490	0.38760624	0.23572372	0.22740500
491	0.14175374	0.12803713	0.36041263
492	0.31697099	0.18466149	0.57121552
493	0.21197128	0.26632796	0.90531559
494	0.47398218	0.10446724	0.15732582
495	0.11023524	0.15066784	0.24934462
496	0.24649349	0.21730062	0.39518459
497	0.16484013	0.11803033	0.62632536
498	0.36859374	0.17022919	0.99265881
499	0.13480056	0.24551297	0.10148457
500	0.30142322	0.13335432	0.16084220
501	0.20157385	0.19233021	0.25491771
502	0.45073284	0.27738816	0.40401734
503	0.12190066	0.10880561	0.64032432
504	0.27257817	0.15692484	0.11127561
505	0.18228401	0.22632479	0.17635996
506	0.40759944	0.12293195	0.27951171
507	0.14906556	0.17729855	0.44299620
508	0.33332073	0.25570876	0.70210166
509	0.22290501	0.13889232	0.12201128
510	0.49843075	0.20031739	0.19337485
511	0.10015730	0.28890767	0.30647849
512	0.22395852	0.10167153	0.48573567
513	0.14977009	0.14663572	0.76983916
514	0.33489610	0.21148531	0.13378271
515	0.12247680	0.11487164	0.21203131
516	0.27386646	0.16567358	0.33604698
517	0.18314554	0.23894265	0.53259857
518	0.40952587	0.12978554	0.84411186
519	0.11075624	0.18718314	0.14668983
520	0.24765849	0.26996480	0.23248771
521	0.16561921	0.10589380	0.36846819
522	0.37033582	0.15272528	0.58398272
523	0.13543767	0.22026797	0.92555024
524	0.30284783	0.11964209	0.10337131
525	0.20252655	0.17255375	0.16383248
526	0.45286313	0.24886558	0.25965698
527	0.10532353	0.13517534	0.41152858
528	0.23551057	0.19495657	0.65222884
529	0.15749541	0.28117603	0.11334438
530	0.35217044	0.11029141	0.17963874
531	0.12879430	0.15906773	0.28470822
532	0.28799282	0.22941537	0.45123211
533	0.19259240	0.12461065	0.71515470
534	0.43064971	0.17971965	0.12427964
535	0.11646918	0.25920059	0.19696996
536	0.26043301	0.14078897	0.31217635
537	0.17416205	0.20305283	0.49476617
538	0.38943818	0.29285285	0.78415154
539	0.14242370	0.10305991	0.13626992
540	0.31846908	0.14863811	0.21597327
541	0.21297311	0.21437325	0.34229456
542	0.47622236	0.11644027	0.54250032
543	0.10270793	0.16793594	0.85980507
544	0.22966192	0.24220553	0.14941700
545	0.15358418	0.13155783	0.23680998
546	0.34342468	0.18973922	0.37531852
547	0.12559584	0.27365131	0.59483977
548	0.28084083	0.10733983	0.94275751
549	0.18780958	0.15481082	0.10529312
550	0.41995499	0.22327584	0.16687835
551	0.11357680	0.12127586	0.26448436
552	0.25396544	0.17491006	0.41917947
553	0.16983693	0.25226396	0.66435468
554	0.37976691	0.13702123	0.11545161
555	0.13888677	0.19761880	0.18297847
556	0.31056025	0.28501564	0.29000134
557	0.20768416	0.11179749	0.45962114
558	0.46439590	0.16123989	0.72845042
559	0.10800573	0.23254815	0.12659017
560	0.24150816	0.12631227	0.20063191
561	0.16150624	0.18217381	0.31798014
562	0.36113893	0.26274011	0.50396456
563	0.13207422	0.14271151	0.79873001
564	0.29532694	0.20582562	0.13880337
565	0.19749703	0.29685191	0.21998851
566	0.44161677	0.10075635	0.34865829
567	0.11943523	0.14531581	0.55258616
568	0.26706528	0.20958166	0.87579004
569	0.17859732	0.11383765	0.15219487
570	0.39935574	0.16418230	0.24121261
571	0.14605071	0.23679185	0.38229622
572	0.32657932	0.12861730	0.60589867
573	0.21839676	0.18549824	0.96028468
574	0.48834999	0.26753476	0.10725067
575	0.10142460	0.10494061	0.16998085
576	0.22679229	0.15135055	0.26940149
577	0.15166515	0.21828527	0.42697259
578	0.33913358	0.11856515	0.67670596
579	0.12402652	0.17100054	0.11759802
580	0.27733172	0.24662546	0.18638030
581	0.18546290	0.13395858	0.29539286
582	0.41470765	0.19320171	0.46816614
583	0.11215765	0.27864508	0.74199333
584	0.25079214	0.10929864	0.12894366
585	0.16771481	0.15763591	0.20436193
586	0.37502172	0.22735033	0.32389183
587	0.13715138	0.12348899	0.51333396
588	0.30667980	0.17810194	0.81357951
589	0.20508914	0.25686744	0.14138391
590	0.45859326	0.13952168	0.22407840
591	0.10665620	0.20122508	0.35514033
592	0.23849051	0.29021679	0.56285950
593	0.15948822	0.10213223	0.89207219
594	0.35662650	0.14730017	0.15502438
595	0.13042395	0.21244360	0.24569708
596	0.29163682	0.11539216	0.38940363
597	0.19502930	0.16642429	0.61716317
598	0.43609877	0.24002536	0.97813770
599	0.11794288	0.13037363	0.10924461
600	0.26372830	0.18803132	0.17314103
601	0.17636574	0.27118809	0.27441004
602	0.39436579	0.10637363	0.43491061
603	0.14422581	0.15341732	0.68928686
604	0.32249871	0.22126607	0.11978433
605	0.21566789	0.12018422	0.18984537
606	0.48224805	0.17333564	0.30088463
607	0.10400751	0.24999325	0.47687000
608	0.23256786	0.13578785	0.75578801
609	0.15552750	0.19583997	0.13134090
610	0.34777007	0.28245012	0.20816130
611	0.12718502	0.11079117	0.32991343
612	0.28439434	0.15978851	0.52287756
613	0.19018596	0.23045491	0.82870508
614	0.42526873	0.12517529	0.14401244
615	0.11501390	0.18053401	0.22824433
616	0.25717889	0.26037510	0.36174289
617	0.17198589	0.14142692	0.57332384
618	0.38457215	0.20397291	0.90865705
619	0.14064412	0.29417985	0.15790650
620	0.31448981	0.10352690	0.25026493
621	0.21031201	0.14931163	0.39664319
622	0.47027195	0.21534463	0.62863709
623	0.10937234	0.11696790	0.99632264
624	0.24456399	0.16869690	0.10007371
625	0.16354980	0.24330303	0.15860614
626	0.36570847	0.13215395	0.25137379
627	0.13374537	0.19059898	0.39840061
628	0.29906374	0.27489130	0.63142242
629	0.19999598	0.10782622	0.10972864
630	0.44720460	0.15551231	0.17390818
631	0.12094645	0.22428757	0.27562588
632	0.27044449	0.12182540	0.43683759
633	0.18085713	0.17570263	0.69234092
634	0.40440884	0.25340704	0.12031506
635	0.14789871	0.13764211	0.19068652
636	0.33071157	0.19851427	0.30221777
637	0.22116016	0.28630712	0.47898289
638	0.49452914	0.11230408	0.75913672
639	0.10078895	0.16197051	0.13192284
640	0.22537095	0.23360189	0.20908361
641	0.15071464	0.12688462	0.33137520
642	0.33700818	0.18299929	0.52519430
643	0.12324922	0.26393065	0.83237686
644	0.27559364	0.14335818	0.14465052
645	0.18430058	0.20675827	0.22925562
646	0.41210861	0.29819702	0.36334568
647	0.11145475	0.10121291	0.57586409
648	0.24922039	0.14597427	0.91268308
649	0.16666372	0.21053133	0.10193422
650	0.37267140	0.11435348	0.16155485
651	0.13629183	0.16492625	0.25604718
652	0.30475779	0.23786482	0.40580744
653	0.20380382	0.12920010	0.64316144
654	0.45571919	0.18633879	0.11176865
655	0.10598777	0.26874703	0.17714137
656	0.23699586	0.10541613	0.28075015
657	0.15848868	0.15203636	0.44495900
658	0.35439147	0.21927438	0.70521250
659	0.12960657	0.11910240	0.12255189
660	0.28980909	0.17177539	0.19423165
661	0.19380702	0.24774298	0.30783642
662	0.43336567	0.13456558	0.48788785
663	0.11720371	0.19407716	0.77325013
664	0.26207547	0.27990770	0.13437547
665	0.17526043	0.10979390	0.21297077
666	0.39189424	0.15835021	0.33753592
667	0.14332192	0.22838052	0.53495839
668	0.32047756	0.12404855	0.84785190
669	0.21431626	0.17890897	0.14733977
670	0.47922573	0.25803138	0.23351781
671	0.10335568	0.14015389	0.37010078
672	0.23111032	0.20213689	0.58657021
673	0.15455279	0.29153184	0.92965113
674	0.34559054	0.10259502	0.10382932
675	0.12638793	0.14796762	0.16455838
676	0.28261200	0.21340624	0.26080745
677	0.18899404	0.11591503	0.41335196
678	0.42260351	0.16717840	0.65511871
679	0.11429309	0.24111298	0.11384658
680	0.25556712	0.13096439	0.18043467
681	0.17090803	0.18888334	0.28596969
682	0.38216198	0.27241691	0.45323141
683	0.13976268	0.10685564	0.71832338
684	0.31251885	0.15411250	0.12483030
685	0.20899395	0.22226868	0.19784269
686	0.46732469	0.12072881	0.31355953
687	0.10868689	0.17412107	0.49695836
688	0.24303127	0.25112604	0.78762592
689	0.16252481	0.13640315	0.13687370
690	0.36341652	0.19672738	0.21693019
691	0.13290717	0.28372998	0.34381118
692	0.29718947	0.11129319	0.54490401
693	0.19874257	0.16051256	0.86361465
694	0.44440191	0.23149917	0.15007903
695	0.12018846	0.12574249	0.23785923
696	0.26874957	0.18135206	0.37698147
697	0.17972367	0.26155493	0.59747536
