point_id	beta	gamma	sigma
75	0.22899443	0.17465454	0.16749429
76	0.32384703	0.37628180	0.26546056
77	0.27232180	0.10470265	0.42072663
78	0.38512119	0.22557501	0.66680677
79	0.20548919	0.48598663	0.11587774
80	0.29060560	0.05047603	0.18365383
81	0.24436921	0.10874732	0.29107171
82	0.34559025	0.23428900	0.46131757
83	0.22408755	0.06519231	0.73113908
84	0.31690765	0.14045257	0.12705741
85	0.26648651	0.30259588	0.20137242
86	0.37686884	0.08419910	0.31915379
87	0.21458697	0.18140146	0.50582466
88	0.30347181	0.39081761	0.80167806
89	0.25518836	0.05496956	0.13931568
90	0.36089083	0.11842833	0.22080047
91	0.23400875	0.25514610	0.34994517
92	0.33093835	0.07099592	0.55462571
93	0.27828488	0.15295607	0.87902252
94	0.39355424	0.32953386	0.15275661
95	0.20327566	0.09169475	0.24210290
96	0.28747520	0.19755036	0.38370725
97	0.24173686	0.42560935	0.60813500
98	0.34186755	0.05986311	0.96382902
99	0.22167368	0.12897117	0.10764652
100	0.31349393	0.27785996	0.17060824
101	0.26361592	0.07731618	0.27039584
102	0.37280921	0.16657267	0.42854852
103	0.21227545	0.35886994	0.67920363
104	0.30020281	0.09985769	0.11803206
105	0.25243947	0.21513688	0.18706821
106	0.35700332	0.46349835	0.29648314
107	0.23148801	0.05193151	0.46989411
108	0.32737349	0.11188304	0.74473197
109	0.27528719	0.24104469	0.12941958
110	0.38931488	0.06707212	0.20511622
111	0.20772682	0.14450250	0.32508730
112	0.29377009	0.31132119	0.51522864
113	0.24703021	0.08662697	0.81658237
114	0.34935348	0.18663215	0.14190575
115	0.22652770	0.40208678	0.22490546
116	0.32035855	0.05655460	0.35645113
117	0.26938836	0.12184320	0.56493697
118	0.38097267	0.26250321	0.89536477
119	0.21692367	0.07304308	0.15559656
120	0.30677640	0.15736654	0.24660393
121	0.25796717	0.33903593	0.39084090
122	0.36482068	0.09433876	0.61944108
123	0.23655694	0.20324670	0.98174794
124	0.33454204	0.43788174	0.10036909
125	0.28131520	0.06158926	0.15907429
126	0.39783977	0.13269004	0.25211576
127	0.20054226	0.28587202	0.39957656
128	0.28360958	0.07954559	0.63328616
129	0.23848628	0.17137577	0.11005252
130	0.33727053	0.36921791	0.17442149
131	0.21869288	0.10273708	0.27643944
132	0.30927844	0.22134032	0.43812698
133	0.26007113	0.47686327	0.69438447
134	0.36779612	0.05342894	0.12067019
135	0.20942102	0.11510917	0.19124936
136	0.29616605	0.24799519	0.30310982
137	0.24904497	0.06900613	0.48039668
138	0.35220277	0.14866921	0.76137743
139	0.22837524	0.32029810	0.13231223
140	0.32297136	0.08912485	0.20970076
141	0.27158546	0.19201367	0.33235330
142	0.38407984	0.41368091	0.52674449
143	0.20493356	0.05818535	0.83483375
144	0.28981982	0.12535653	0.14507748
145	0.24370845	0.27007246	0.22993231
146	0.34465579	0.07514926	0.36441815
147	0.22348163	0.16190418	0.57756385
148	0.31605075	0.34881199	0.91537701
149	0.26576594	0.09705901	0.10223509
150	0.37584980	0.20910729	0.16203170
151	0.21400674	0.45050801	0.25680295
152	0.30265124	0.06336518	0.40700524
153	0.25449834	0.13651614	0.64505983
154	0.35991500	0.29411511	0.11209855
155	0.23337601	0.08183928	0.17766423
156	0.33004351	0.17631737	0.28157883
157	0.27753241	0.37986427	0.44627237
158	0.39249010	0.10569949	0.70729404
159	0.20272602	0.22772264	0.12291362
160	0.28669788	0.49061356	0.19480496
161	0.24108322	0.05095660	0.30874505
162	0.34094316	0.10978267	0.48932792
163	0.22107429	0.23651959	0.77553250
164	0.31264626	0.06581298	0.13477210
165	0.26290312	0.14178977	0.21359939
166	0.37180115	0.30547680	0.33853221
167	0.21170146	0.08500073	0.53653740
168	0.29939108	0.18312853	0.85035447
169	0.25175689	0.39453846	0.14777467
170	0.35603801	0.05549291	0.23420707
171	0.23086208	0.11955585	0.37119319
172	0.32648829	0.25757527	0.58830156
173	0.27454283	0.07167185	0.93239514
174	0.38826220	0.15441232	0.10413579
175	0.20716514	0.33267125	0.16504410
176	0.29297575	0.09256775	0.26157727
177	0.24636226	0.19943118	0.41457203
178	0.34840885	0.42966144	0.65705239
179	0.22591519	0.06043305	0.11418262
180	0.31949232	0.13019906	0.18096726
181	0.26865995	0.28050538	0.28681377
182	0.37994254	0.07805229	0.45456919
183	0.21633712	0.16815856	0.72044362
184	0.30594689	0.36228663	0.12519875
185	0.25726965	0.10080841	0.19842665
186	0.36383422	0.21718513	0.31448505
187	0.23591731	0.46791118	0.49842521
188	0.33363745	0.05242593	0.78995072
189	0.28055454	0.11294824	0.13727770
190	0.39676403	0.24333961	0.21757050
191	0.20163118	0.06771069	0.34482600
192	0.28514955	0.14587826	0.54651237
193	0.23978123	0.31428519	0.86616374
194	0.33910187	0.08745172	0.15052201
195	0.21988036	0.18840902	0.23856130
196	0.31095779	0.40591493	0.37809419
197	0.26148329	0.05709304	0.59923890
198	0.36979321	0.12300323	0.94972966
199	0.21055815	0.26500242	0.10607181
200	0.29777420	0.07373850	0.16811250
201	0.25039726	0.15886478	0.26644035
202	0.35411519	0.34226379	0.42227950
203	0.22961530	0.09523693	0.66926791
204	0.32472507	0.20518175	0.11630543
205	0.27306014	0.44205068	0.18433169
206	0.38616536	0.06217563	0.29214604
207	0.20604633	0.13395334	0.46302027
208	0.29139351	0.28859372	0.73383767
209	0.24503176	0.08030292	0.12752637
210	0.34652724	0.17300739	0.20211568
211	0.22469511	0.37273312	0.32033176
212	0.31776688	0.10371521	0.50769163
213	0.26720903	0.22344764	0.80463700
214	0.37789063	0.48140334	0.13982988
215	0.21516878	0.05393762	0.22161543
216	0.30429460	0.11620509	0.35123679
217	0.25588024	0.25035628	0.55667280
218	0.36186931	0.06966312	0.88226693
219	0.23464322	0.15008464	0.15332042
220	0.33183562	0.32334756	0.24299649
221	0.27903938	0.08997338	0.38512348
222	0.39462128	0.19384177	0.61037959
223	0.20382680	0.41761944	0.96738645
224	0.28825462	0.05873931	0.10804384
225	0.24239228	0.12655001	0.17123794
226	0.34279445	0.27264373	0.27139385
227	0.22227470	0.07586474	0.43013026
228	0.31434390	0.16344562	0.68171053
229	0.26433066	0.35213292	0.11846771
230	0.37382000	0.09798308	0.18775867
231	0.21285098	0.21109814	0.29757744
232	0.30101675	0.45479716	0.47162846
233	0.25312390	0.06396846	0.74748073
234	0.35797126	0.13781587	0.12989726
235	0.23211564	0.29691529	0.20587329
236	0.32826109	0.08261844	0.32628717
237	0.27603357	0.17799604	0.51713032
238	0.39037042	0.38348084	0.81959632
239	0.20829002	0.10670582	0.14242952
240	0.29456658	0.22989072	0.22573557
241	0.24769998	0.49528455	0.35776677
242	0.35030067	0.05015818	0.56702212
243	0.22714188	0.10806252	0.89866950
244	0.32122713	0.23281364	0.15617086
245	0.27011874	0.06478178	0.24751413
246	0.38200559	0.13956811	0.39228346
247	0.21751181	0.30069037	0.62172739
248	0.30760815	0.08366888	0.98537151
249	0.25866659	0.18025914	0.10073955
250	0.36580981	0.38835655	0.15966142
251	0.23719831	0.05462341	0.25304630
252	0.33544907	0.11768256	0.40105137
253	0.28207792	0.25353940	0.63562358
254	0.39891842	0.07054884	0.11045872
255	0.20027094	0.15199287	0.17506527
256	0.22081790	0.06164234	0.11937766
257	0.24380273	0.07599555	0.14251027
258	0.26918004	0.09369087	0.17012543
259	0.29719886	0.11550649	0.20309176
260	0.32813414	0.14240179	0.24244620
261	0.36228947	0.17555959	0.28942661
262	0.20284928	0.21643806	0.34551073
263	0.22396376	0.26683496	0.41246264
264	0.24727604	0.32896661	0.49238826
265	0.27301488	0.40556542	0.58780161
266	0.30143287	0.05096059	0.70170383
267	0.33280887	0.06282660	0.83767764
268	0.36745078	0.07745557	0.10137180
269	0.20573915	0.09549085	0.12101529
270	0.22715443	0.11772558	0.14446522
271	0.25079883	0.14513759	0.17245921
272	0.27690436	0.17893241	0.20587778
273	0.30572720	0.22059624	0.24577208
274	0.33755019	0.27196135	0.29339697
275	0.37268563	0.33528667	0.35025045
276	0.20867019	0.41335708	0.41812080
277	0.23039056	0.05193964	0.49914285
278	0.25437181	0.06403362	0.59586507
279	0.28084924	0.07894363	0.71132980
280	0.31008270	0.09732540	0.84916891
281	0.34235906	0.11998730	0.10276242
282	0.37799505	0.14792596	0.12267538
283	0.21164298	0.18237003	0.14644700
284	0.23367280	0.22483430	0.17482501
285	0.25799569	0.27718623	0.20870201
286	0.28485033	0.34172814	0.24914358
287	0.31450026	0.42129843	0.29742179
288	0.34723644	0.05293750	0.35505518
289	0.38338012	0.06526382	0.42385659
290	0.21465813	0.08046029	0.50599009
291	0.23700179	0.09919520	0.60403915
292	0.26167119	0.12229248	0.72108783
293	0.28890842	0.15076789	0.86081781
294	0.31898076	0.18587370	0.10417211
295	0.35218331	0.22915378	0.12435824
296	0.38884190	0.28251149	0.14845596
297	0.21771623	0.34829337	0.17722326
298	0.24037821	0.42939235	0.21156498
299	0.26539906	0.05395452	0.25256133
300	0.29302432	0.06651766	0.30150182
301	0.32352508	0.08200608	0.35992583
302	0.35720065	0.10110092	0.42967105
303	0.39438149	0.12464195	0.51293126
304	0.20040458	0.15366442	0.61232536
305	0.22126459	0.18944467	0.73097972
306	0.24429591	0.23355625	0.87262651
307	0.26972456	0.28793906	0.10560115
308	0.29780006	0.35498473	0.12606418
309	0.32879792	0.43764177	0.15049248
310	0.36302233	0.05499109	0.17965440
311	0.20325962	0.06779558	0.21446723
312	0.22441681	0.08358157	0.25602597
313	0.24777625	0.10304326	0.30563783
314	0.27356716	0.12703655	0.36486330
315	0.30204263	0.15661659	0.43556528
316	0.33348210	0.19308426	0.51996766
317	0.36819409	0.23804330	0.62072524
318	0.20615533	0.29347090	0.74100730
319	0.22761394	0.36180464	0.88459720
320	0.25130617	0.44604968	0.10704978
321	0.27746450	0.05604757	0.12779353
322	0.30634565	0.06909806	0.15255693
323	0.33823302	0.08518732	0.18211890
324	0.37343953	0.10502291	0.21740929
325	0.20909230	0.12947715	0.25953814
326	0.23085662	0.15962549	0.30983057
327	0.25488637	0.19679376	0.36986849
328	0.28141737	0.24261655	0.44154037
329	0.31070997	0.29910902	0.52710058
330	0.34305161	0.36875558	0.62924036
331	0.37875969	0.45461911	0.75117244
332	0.21207111	0.05712435	0.89673211
333	0.23414549	0.07042556	0.10851829
334	0.25851758	0.08682393	0.12954660
335	0.28542655	0.10704060	0.15464971
336	0.31513646	0.13196465	0.18461721
337	0.34793886	0.16269219	0.22039172
338	0.38415565	0.20057453	0.26309848
339	0.21509236	0.24727766	0.31408082
340	0.23748122	0.30485546	0.37494235
341	0.26220052	0.37584005	0.44759742
342	0.28949285	0.46335319	0.53433134
343	0.31962602	0.05822181	0.63787228
344	0.35289573	0.07177857	0.76147703
345	0.38962848	0.08849198	0.90903349
346	0.21815665	0.10909704	0.11000695
347	0.24086447	0.13449993	0.13132373
348	0.26593593	0.16581780	0.15677120
349	0.29361707	0.20442794	0.18714979
350	0.32417953	0.25202832	0.22341505
351	0.35792322	0.31071229	0.26670767
352	0.39517928	0.38306064	0.31838938
353	0.20080997	0.47225506	0.38008581
354	0.22171218	0.05934036	0.45373756
355	0.24479010	0.07315757	0.54166130
356	0.27027018	0.09019207	0.64662261
357	0.29840247	0.11119300	0.77192297
358	0.32946304	0.13708393	0.92150361
359	0.36375668	0.16900347	0.11151602
360	0.20367079	0.20835538	0.13312523
361	0.22487078	0.25687025	0.15892178
362	0.24827747	0.31668165	0.18971711
363	0.27412055	0.39041994	0.22647986
364	0.30265363	0.48132795	0.27036637
365	0.33415670	0.06048040	0.32275705
366	0.36893890	0.07456306	0.38529983
367	0.20657236	0.09192483	0.45996194
368	0.22807438	0.11332922	0.54909182
369	0.25181453	0.13971756	0.65549298
370	0.27802578	0.17225034	0.78251221
371	0.30696535	0.21235827	0.93414480
372	0.33891722	0.26180520	0.11304580
373	0.37419495	0.32276569	0.13495144
374	0.20951527	0.39792063	0.16110187
375	0.23132361	0.49057515	0.19231965
376	0.25540197	0.05008657	0.22958671
377	0.28198664	0.06174907	0.27407525
378	0.31133849	0.07612714	0.32718463
379	0.34374557	0.09385309	0.39058537
380	0.37952588	0.11570648	0.46627170
381	0.21250011	0.14264836	0.55662426
382	0.23461914	0.17586356	0.66448504
383	0.25904053	0.21681282	0.79324672
384	0.28600393	0.26729698	0.94695940
385	0.31577394	0.32953621	0.11459656
386	0.34864270	0.40626764	0.13680270
387	0.38493275	0.05104883	0.16331187
388	0.21552746	0.06293538	0.19495790
389	0.23796161	0.07758968	0.23273618
390	0.26273092	0.09565618	0.27783502
391	0.29007846	0.11792942	0.33167295
392	0.32027258	0.14538890	0.39594343
393	0.35360960	0.17924223	0.47266801
394	0.39041665	0.22097819	0.56426003
395	0.21859795	0.27243224	0.67360045
396	0.24135171	0.33586720	0.80412848
397	0.26647389	0.41407279	0.95994980
398	0.29421103	0.05202957	0.11616860
399	0.32483531	0.06414449	0.13867936
400	0.35864726	0.07908032	0.16555218
401	0.39597868	0.09749392	0.19763233
402	0.20121619	0.12019506	0.23592886
403	0.22216068	0.14818208	0.28164636
404	0.24528528	0.18268580	0.33622285
405	0.27081690	0.22522359	0.40137498
406	0.29900610	0.27766617	0.47915207
407	0.33012950	0.34231983	0.57200055
408	0.36449252	0.42202789	0.68284090
409	0.20408279	0.05302916	0.81515952
410	0.22532567	0.06537682	0.97311839
411	0.24877971	0.08059960	0.11776220
412	0.27467506	0.09936695	0.14058177
413	0.30326586	0.12250423	0.16782323
414	0.33483265	0.15102894	0.20034345
415	0.36968522	0.18619553	0.23916533
416	0.20699023	0.22955055	0.28550999
417	0.22853574	0.28300065	0.34083515
418	0.25232392	0.34889643	0.40688104
419	0.27858819	0.43013583	0.48572508
420	0.30758630	0.05404794	0.57984726
421	0.33960281	0.06663283	0.69220812
422	0.37495190	0.08214807	0.82634188
423	0.20993909	0.10127598	0.98646763
424	0.23179155	0.12485776	0.10010486
425	0.25591862	0.15393048	0.11950284
426	0.28255707	0.18977269	0.14265970
427	0.31196829	0.23396064	0.17030382
428	0.34444092	0.28843762	0.20330473
429	0.38029361	0.35559937	0.24270043
430	0.21292997	0.43839953	0.28973011
431	0.23509374	0.05508630	0.34587303
432	0.25956454	0.06791297	0.41289515
433	0.28658248	0.08372628	0.49290459
434	0.31641272	0.10322168	0.58841798
435	0.34934796	0.12725651	0.70243964
436	0.38571142	0.15688777	0.83855604
437	0.21596345	0.19341857	0.10147810
438	0.23844298	0.23845546	0.12114219
439	0.26326239	0.29397904	0.14461671
440	0.29066525	0.36243110	0.17264005
441	0.32092045	0.44682199	0.20609366
442	0.35432491	0.05614461	0.24602980
443	0.39120642	0.06921770	0.29370463
444	0.21904015	0.08533482	0.35061772
445	0.24183993	0.10520475	0.41855925
446	0.26701293	0.12970134	0.49966625
447	0.29480618	0.15990187	0.59648990
448	0.32549241	0.19713450	0.71207571
449	0.35937276	0.24303663	0.85005935
450	0.39677969	0.29962692	0.10287018
451	0.20162322	0.36939407	0.12280401
452	0.22261008	0.45540627	0.14660056
453	0.24578146	0.05722326	0.17500833
454	0.27136473	0.07054750	0.20892085
455	0.29961096	0.08697426	0.24940484
456	0.33079731	0.10722593	0.29773367
457	0.36522985	0.13219314	0.35542750
458	0.20449562	0.16297388	0.42430104
459	0.22578147	0.20092182	0.50652068
460	0.24928296	0.24770581	0.60467255
461	0.27523070	0.30538330	0.72184397
462	0.30387933	0.37649081	0.86172047
463	0.33550998	0.46415546	0.10428135
464	0.37043305	0.05832262	0.12448864
465	0.20740895	0.07190285	0.14861163
466	0.22899804	0.08864520	0.17740909
467	0.25283434	0.10928594	0.21178683
468	0.27915174	0.13473282	0.25282617
469	0.30820851	0.16610491	0.30181798
470	0.34028979	0.20478190	0.36030325
471	0.37571038	0.25246470	0.43012161
472	0.21036378	0.31125028	0.51346913
473	0.23226044	0.38372389	0.61296745
474	0.25643632	0.47307275	0.73174623
475	0.28312865	0.05944310	0.87354155
476	0.31259937	0.07328424	0.10571188
477	0.34513769	0.09034823	0.12619638
478	0.38106290	0.11138553	0.15065029
479	0.21336070	0.13732128	0.17984279
480	0.23556931	0.16929609	0.21469212
481	0.26008961	0.20871614	0.25629444
482	0.28716221	0.25731501	0.30595832
483	0.31705278	0.31722997	0.36524590
484	0.35005465	0.39109594	0.43602202
485	0.38649167	0.48216135	0.52051290
486	0.21640032	0.06058512	0.62137614
487	0.23892532	0.07469216	0.74178432
488	0.26379494	0.09208399	0.88552480
489	0.29125323	0.11352545	0.10716204
490	0.32156964	0.13995948	0.12792754
491	0.35504166	0.17254858	0.15271691
492	0.39199778	0.21272596	0.18230988
493	0.21948324	0.26225851	0.21763727
494	0.24232915	0.32332454	0.25981029
495	0.26755307	0.39860961	0.31015546
496	0.29540254	0.49142456	0.37025634
497	0.32615084	0.05017330	0.44200337
498	0.36009973	0.06185598	0.52765330
499	0.39758233	0.07625895	0.62990018
500	0.20203108	0.09401560	0.75196012
501	0.22306040	0.11590682	0.89767243
502	0.24627865	0.14289535	0.10863209
503	0.27191367	0.17616806	0.12968245
504	0.30021703	0.21718822	0.15481188
505	0.33146648	0.26775979	0.18481080
506	0.36596866	0.33010679	0.22062282
507	0.20490929	0.40697107	0.26337437
508	0.22623820	0.05113722	0.31441017
509	0.24978723	0.06304435	0.37533552
510	0.27578746	0.07772402	0.44806677
511	0.30449404	0.09582181	0.53489165
512	0.22081790	0.10772173	0.15848932
513	0.24380273	0.23207944	0.25118864
514	0.26918004	0.06457748	0.39810717
515	0.29719886	0.13912797	0.63095734
516	0.32813414	0.29974213	0.10964782
517	0.36228947	0.08340503	0.17378008
518	0.20284928	0.17969068	0.27542287
519	0.22396376	0.38713184	0.43651583
520	0.24727604	0.05445115	0.69183097
521	0.27301488	0.11731144	0.12022644
522	0.30143287	0.25273984	0.19054607
523	0.33280887	0.07032636	0.30199517
524	0.36745078	0.15151355	0.47863009
525	0.20573915	0.32642606	0.75857758
526	0.22715443	0.09082999	0.13182567
527	0.25079883	0.19568728	0.20892961
528	0.27690436	0.42159546	0.33113112
529	0.30572720	0.05929855	0.52480746
530	0.33755019	0.12775485	0.83176377
531	0.37268563	0.27523949	0.14454398
532	0.20867019	0.07658702	0.22908677
533	0.23039056	0.16500174	0.36307805
534	0.25437181	0.35548547	0.57543994
535	0.28084924	0.09891594	0.91201084
536	0.31008270	0.21310794	0.10185914
537	0.34235906	0.45912714	0.16143586
538	0.37799505	0.05144174	0.25585859
539	0.21164298	0.11082788	0.40550854
540	0.23367280	0.23877142	0.64268772
541	0.25799569	0.06643957	0.11168632
542	0.28485033	0.14313971	0.17701090
543	0.31450026	0.30838515	0.28054336
544	0.34723644	0.08581000	0.44463127
545	0.38338012	0.18487204	0.70469307
546	0.21465813	0.39829474	0.12246162
547	0.23700179	0.05602124	0.19408859
548	0.26167119	0.12069410	0.30760968
549	0.28890842	0.26002756	0.48752849
550	0.31898076	0.07235421	0.77268059
551	0.35218331	0.15588243	0.13427650
552	0.38884190	0.33583851	0.21281390
553	0.21771623	0.09344906	0.33728731
554	0.24037821	0.20132990	0.53456436
555	0.26539906	0.43375212	0.84722741
556	0.29302432	0.06100842	0.14723125
557	0.32352508	0.13143865	0.23334581
558	0.35720065	0.28317599	0.36982818
559	0.39438149	0.07879540	0.58613816
560	0.20040458	0.16975954	0.92896639
561	0.22126459	0.36573585	0.10375284
562	0.24429591	0.10176817	0.16443717
563	0.26972456	0.21925288	0.26061535
564	0.29780006	0.47236602	0.41304750
565	0.32879792	0.05292506	0.65463617
566	0.36302233	0.11402359	0.11376273
567	0.20325962	0.24565637	0.18030177
568	0.22441681	0.06835534	0.28575905
569	0.24777625	0.14726712	0.45289758
570	0.27356716	0.31727740	0.71779429
571	0.30204263	0.08828432	0.12473835
572	0.33348210	0.19020281	0.19769696
573	0.36819409	0.40977952	0.31332857
574	0.20615533	0.05763661	0.49659232
575	0.22761394	0.12417430	0.78704579
576	0.25130617	0.26752543	0.13677288
577	0.27746450	0.07444054	0.21677041
578	0.30634565	0.16037728	0.34355795
579	0.33823302	0.34552238	0.54450265
580	0.37343953	0.09614365	0.86297855
581	0.20909230	0.20713522	0.14996848
582	0.23085662	0.44625931	0.23768403
583	0.25488637	0.06276759	0.37670380
584	0.28141737	0.13522867	0.59703529
585	0.31070997	0.29134133	0.94623716
586	0.34305161	0.08106746	0.10568175
587	0.37875969	0.17465454	0.16749429
588	0.21207111	0.37628180	0.26546056
589	0.23414549	0.10470265	0.42072663
590	0.25851758	0.22557501	0.66680677
591	0.28542655	0.48598663	0.11587774
592	0.31513646	0.05047603	0.18365383
593	0.34793886	0.10874732	0.29107171
594	0.38415565	0.23428900	0.46131757
595	0.21509236	0.06519231	0.73113908
596	0.23748122	0.14045257	0.12705741
597	0.26220052	0.30259588	0.20137242
598	0.28949285	0.08419910	0.31915379
599	0.31962602	0.18140146	0.50582466
600	0.35289573	0.39081761	0.80167806
601	0.38962848	0.05496956	0.13931568
602	0.21815665	0.11842833	0.22080047
603	0.24086447	0.25514610	0.34994517
604	0.26593593	0.07099592	0.55462571
605	0.29361707	0.15295607	0.87902252
606	0.32417953	0.32953386	0.15275661
607	0.35792322	0.09169475	0.24210290
608	0.39517928	0.19755036	0.38370725
609	0.20080997	0.42560935	0.60813500
610	0.22171218	0.05986311	0.96382902
611	0.24479010	0.12897117	0.10764652
612	0.27027018	0.27785996	0.17060824
613	0.29840247	0.07731618	0.27039584
614	0.32946304	0.16657267	0.42854852
615	0.36375668	0.35886994	0.67920363
616	0.20367079	0.09985769	0.11803206
617	0.22487078	0.21513688	0.18706821
618	0.24827747	0.46349835	0.29648314
619	0.27412055	0.05193151	0.46989411
620	0.30265363	0.11188304	0.74473197
621	0.33415670	0.24104469	0.12941958
622	0.36893890	0.06707212	0.20511622
623	0.20657236	0.14450250	0.32508730
624	0.22807438	0.31132119	0.51522864
625	0.25181453	0.08662697	0.81658237
626	0.27802578	0.18663215	0.14190575
627	0.30696535	0.40208678	0.22490546
628	0.33891722	0.05655460	0.35645113
629	0.37419495	0.12184320	0.56493697
630	0.20951527	0.26250321	0.89536477
631	0.23132361	0.07304308	0.15559656
632	0.25540197	0.15736654	0.24660393
633	0.28198664	0.33903593	0.39084090
634	0.31133849	0.09433876	0.61944108
635	0.34374557	0.20324670	0.98174794
636	0.37952588	0.43788174	0.10036909
637	0.21250011	0.06158926	0.15907429
638	0.23461914	0.13269004	0.25211576
639	0.25904053	0.28587202	0.39957656
640	0.28600393	0.07954559	0.63328616
641	0.31577394	0.17137577	0.11005252
642	0.34864270	0.36921791	0.17442149
643	0.38493275	0.10273708	0.27643944
644	0.21552746	0.22134032	0.43812698
645	0.23796161	0.47686327	0.69438447
646	0.26273092	0.05342894	0.12067019
647	0.29007846	0.11510917	0.19124936
648	0.32027258	0.24799519	0.30310982
649	0.35360960	0.06900613	0.48039668
650	0.39041665	0.14866921	0.76137743
651	0.21859795	0.32029810	0.13231223
652	0.24135171	0.08912485	0.20970076
653	0.26647389	0.19201367	0.33235330
654	0.29421103	0.41368091	0.52674449
655	0.32483531	0.05818535	0.83483375
656	0.35864726	0.12535653	0.14507748
657	0.39597868	0.27007246	0.22993231
658	0.20121619	0.07514926	0.36441815
659	0.22216068	0.16190418	0.57756385
660	0.24528528	0.34881199	0.91537701
661	0.27081690	0.09705901	0.10223509
662	0.29900610	0.20910729	0.16203170
663	0.33012950	0.45050801	0.25680295
664	0.36449252	0.06336518	0.40700524
665	0.20408279	0.13651614	0.64505983
666	0.22532567	0.29411511	0.11209855
667	0.24877971	0.08183928	0.17766423
668	0.27467506	0.17631737	0.28157883
669	0.30326586	0.37986427	0.44627237
670	0.33483265	0.10569949	0.70729404
671	0.36968522	0.22772264	0.12291362
672	0.20699023	0.49061356	0.19480496
673	0.22853574	0.05095660	0.30874505
674	0.25232392	0.10978267	0.48932792
675	0.27858819	0.23651959	0.77553250
676	0.30758630	0.06581298	0.13477210
677	0.33960281	0.14178977	0.21359939
678	0.37495190	0.30547680	0.33853221
679	0.20993909	0.08500073	0.53653740
680	0.23179155	0.18312853	0.85035447
681	0.25591862	0.39453846	0.14777467
682	0.28255707	0.05549291	0.23420707
683	0.31196829	0.11955585	0.37119319
684	0.34444092	0.25757527	0.58830156
685	0.38029361	0.07167185	0.93239514
686	0.21292997	0.15441232	0.10413579
687	0.23509374	0.33267125	0.16504410
688	0.25956454	0.09256775	0.26157727
689	0.28658248	0.19943118	0.41457203
690	0.31641272	0.42966144	0.65705239
691	0.34934796	0.06043305	0.11418262
692	0.38571142	0.13019906	0.18096726
693	0.21596345	0.28050538	0.28681377
694	0.23844298	0.07805229	0.45456919
695	0.26326239	0.16815856	0.72044362
696	0.29066525	0.36228663	0.12519875
697	0.32092045	0.10080841	0.19842665
